,city,lat,max_temp,cloudiness,humidity,lng,country,date,wind_speed
210,sambava,-14.27,19.98,0,92,50.17,MG,1562611466,1.02
211,pisco,-13.71,22.0,20,30,-76.2,PE,1562611025,4.6
212,kozova,49.43,16.67,0,55,25.15,UA,1562611466,2.0
213,talnakh,69.49,9.0,0,81,88.39,RU,1562611466,12.0
214,manjacaze,-24.71,17.58,1,76,33.88,MZ,1562611467,2.35
215,lixourion,38.2,30.0,0,74,20.43,GR,1562611467,4.6
216,pacific grove,36.62,22.78,90,72,-121.92,US,1562611015,3.6
217,touho,-20.78,15.08,99,81,165.23,NC,1562611467,1.11
218,khomutovo,52.85,15.18,100,89,37.45,RU,1562611468,2.72
219,pitogo,13.79,27.68,100,79,122.09,PH,1562611468,0.83
220,severo-yeniseyskiy,60.37,13.28,54,71,93.04,RU,1562611468,3.07
221,poum,41.28,25.0,40,53,20.71,MK,1562611468,1.0
222,sabinas,27.85,33.88,100,40,-101.13,MX,1562611469,0.44
223,los llanos de aridane,28.66,24.0,20,64,-17.92,ES,1562611318,7.2
224,kamphaeng phet,16.47,24.58,100,89,99.53,TH,1562611469,0.75
225,mbuyapey,-26.22,18.68,0,53,-56.76,PY,1562611469,2.82
226,dafeng,33.2,23.33,100,81,120.46,CN,1562611470,2.44
227,caala,-12.85,14.78,0,19,15.56,AO,1562611470,2.2
228,kruisfontein,-34.0,13.88,100,74,24.73,ZA,1562611297,4.61
229,hambantota,6.12,27.0,40,100,81.12,LK,1562611286,3.6
230,manavalakurichi,8.13,28.0,40,83,77.3,IN,1562611470,1.0
231,ranong,9.96,25.0,20,100,98.62,TH,1562611471,4.78
232,zhangjiakou,40.77,15.18,100,72,114.88,CN,1562611471,3.66
233,ribeira grande,38.52,23.0,20,69,-28.7,PT,1562611131,6.7
234,lebu,8.96,16.0,75,87,38.73,ET,1562611303,1.0
235,gornoye loo,43.72,25.0,75,73,39.61,RU,1562611471,4.0
236,saint leonard,38.47,24.44,75,88,-76.51,US,1562611435,5.7
237,laguna,16.17,29.0,40,79,-88.94,BZ,1562611375,2.1
238,ufimskiy,56.71,10.28,100,96,58.05,RU,1562611472,1.87
239,haines junction,60.75,18.88,97,41,-137.51,CA,1562611472,1.17
240,constitucion,23.99,21.67,40,55,-104.67,MX,1562611144,2.1
241,bay roberts,47.58,24.44,20,35,-53.28,CA,1562611473,7.7
242,tuatapere,-46.13,8.33,100,83,167.69,NZ,1562611299,6.26
243,lobito,-12.35,19.78,3,90,13.55,AO,1562611473,2.97
244,yulara,-25.24,8.0,0,52,130.99,AU,1562611342,3.1
245,salalah,17.01,29.0,75,89,54.1,OM,1562611123,2.6
246,cabo san lucas,22.89,36.11,75,27,-109.91,MX,1562611317,2.1
247,greeneville,36.16,32.22,75,65,-82.83,US,1562611212,2.1
248,beloha,-25.17,17.88,0,87,45.06,MG,1562611474,2.13
249,geraldton,49.72,26.0,90,44,-86.95,CA,1562611474,2.1
250,sarkand,45.41,24.68,5,27,79.91,KZ,1562611475,3.07
251,goma,-1.67,13.68,18,93,29.23,CD,1562611475,0.27
252,chifeng,42.27,18.58,100,70,118.96,CN,1562611475,1.25
253,batticaloa,7.71,26.88,100,75,81.69,LK,1562611294,0.28
254,nampula,-15.12,20.0,0,77,39.26,MZ,1562611476,3.1
255,jadu,31.95,33.08,0,18,12.03,LY,1562611476,5.26
256,merrill,42.03,22.22,1,42,-121.6,US,1562611476,3.1
257,port hedland,-20.31,15.0,0,67,118.58,AU,1562611476,4.1
258,ancud,-41.87,10.0,90,100,-73.83,CL,1562611336,6.2
259,san patricio,-26.98,17.38,0,57,-56.83,PY,1562611318,2.76
260,aksu,52.04,14.0,0,93,76.93,KZ,1562611477,3.0
261,buala,-8.15,25.88,51,85,159.59,SB,1562611371,3.91
262,imbituba,-28.24,20.0,0,52,-48.67,BR,1562611284,5.7
263,romitan,39.93,29.0,0,32,64.38,UZ,1562611477,5.1
264,soyo,-6.13,24.0,20,83,12.37,AO,1562611237,2.6
265,ilheus,-14.79,26.0,40,65,-39.05,BR,1562611411,6.2
266,praia,-20.25,21.0,0,43,-43.81,BR,1562611172,4.6
267,ust-kuyga,70.0,14.48,100,89,135.55,RU,1562611478,3.2
268,luorong,24.41,25.38,100,94,109.6,CN,1562611479,2.53
269,zmeinogorsk,51.15,16.38,100,69,82.2,RU,1562611479,2.7
270,foso,5.7,22.88,100,90,-1.29,GH,1562611479,3.26
271,grand gaube,-20.01,22.22,75,94,57.66,MU,1562611479,2.1
272,avera,33.19,35.56,40,55,-82.53,US,1562611480,1.5
273,ishigaki,24.34,28.88,95,86,124.16,JP,1562611480,6.67
274,perry,30.12,32.22,40,59,-83.58,US,1562611480,5.6
275,bowen,-20.01,18.89,90,93,148.25,AU,1562611480,2.6
276,amapa,15.09,30.0,75,70,-87.97,HN,1562611481,3.1
277,lagoa,37.14,23.89,20,77,-8.45,PT,1562611293,9.3
278,luderitz,-26.65,15.0,0,77,15.16,NA,1562611300,3.6
279,itupiranga,-5.13,31.0,40,58,-49.33,BR,1562611341,2.1
280,olinda,-37.84,9.44,48,93,145.39,AU,1562611481,3.1
281,lata,30.78,9.18,100,98,78.62,IN,1562611377,2.01
282,bonanza,14.03,29.98,100,56,-84.62,NI,1562611482,2.52
283,tiksi,71.64,11.58,83,84,128.87,RU,1562611271,2.51
284,flinders,-34.58,11.67,0,76,150.85,AU,1562611482,6.2
285,solnechnyy,50.72,15.18,86,96,136.64,RU,1562611483,2.03
286,emporia,38.4,32.22,75,70,-96.18,US,1562611483,5.7
287,pudozh,61.81,13.78,100,89,36.54,RU,1562611483,2.46
288,sao gabriel,-30.34,13.78,19,61,-54.32,BR,1562611483,3.05
289,pallasovka,50.04,22.68,0,43,46.89,RU,1562611484,1.49
290,gladstone,-23.84,14.44,12,87,151.26,AU,1562611484,2.6
291,linares,-35.85,15.28,17,70,-71.6,CL,1562611484,4.77
292,takoradi,4.89,23.08,100,90,-1.75,GH,1562611316,2.36
293,piacabucu,-10.41,23.38,99,88,-36.43,BR,1562611282,5.27
294,bitkine,11.98,28.28,94,60,18.21,TD,1562611485,3.9
295,griffith,-34.29,3.0,90,100,146.06,AU,1562611485,1.92
296,acapulco,16.86,31.0,20,74,-99.88,MX,1562611321,2.6
297,punaauia,-17.63,26.0,20,74,-149.6,PF,1562611485,1.5
298,floro,61.6,17.22,20,63,5.03,NO,1562611486,6.2
299,zhuhai,40.71,20.0,20,56,112.04,CN,1562611315,5.0
300,shache,38.42,21.67,1,95,77.24,CN,1562611486,0.45
301,mackay,53.65,14.0,90,87,-115.58,CA,1562611486,3.6
302,manzanillo,19.05,32.0,75,66,-104.32,MX,1562611413,5.1
303,lakes entrance,-37.88,4.44,6,90,147.99,AU,1562611487,4.59
304,porbandar,21.64,28.18,44,84,69.61,IN,1562611488,7.02
305,tuktoyaktuk,69.44,9.0,40,70,-133.03,CA,1562611488,3.1
306,airai,-8.93,19.58,38,87,125.41,TL,1562611311,1.93
307,lopatyn,50.22,13.18,21,77,24.84,UA,1562611489,4.88
308,navalmoral de la mata,39.89,25.0,50,38,-5.54,ES,1562611489,5.72
